orig_reg,dest_reg,flow
DMN,DMN,3.498892
DMN,DAN,0.007214
DMN,VAN,0.03682
DMN,FPN,1.744666
DMN,SN,0.022516
DMN,Visual,0.825409
DMN,Limbic,0.107072
DMN,SMN,0.000869
DMN,Cerebellum,0.675984
DAN,DMN,0.021043
DAN,DAN,2.178887
DAN,VAN,0.085849
DAN,FPN,0.565937
DAN,SN,0.04099
DAN,Visual,1.593311
DAN,Limbic,0.359676
DAN,SMN,0.002097
DAN,Cerebellum,0.380948
VAN,DMN,0.00176
VAN,DAN,0.025689
VAN,VAN,1.354018
VAN,FPN,0.566555
VAN,SN,0.001438
VAN,Visual,0.043438
VAN,Limbic,0.002543
VAN,SMN,0
VAN,Cerebellum,0.088158
FPN,DMN,0.175242
FPN,DAN,0.010825
FPN,VAN,0.601772
FPN,FPN,2.006166
FPN,SN,0.168391
FPN,Visual,0.449838
FPN,Limbic,0.222712
FPN,SMN,1.40E-05
FPN,Cerebellum,0.223626
SN,DMN,0.004648
SN,DAN,0.014653
SN,VAN,0.009782
SN,FPN,0.290048
SN,SN,0.682464
SN,Visual,2.195385
SN,Limbic,0.022709
SN,SMN,0
SN,Cerebellum,0.010966
Visual,DMN,0.011244
Visual,DAN,0.044196
Visual,VAN,0.172959
Visual,FPN,0.213784
Visual,SN,0.207948
Visual,Visual,0.112105
Visual,Limbic,0.037692
Visual,SMN,0
Visual,Cerebellum,0.02632
Limbic,DMN,0.006264
Limbic,DAN,0.006773
Limbic,VAN,0.015882
Limbic,FPN,0.079224
Limbic,SN,0.004123
Limbic,Visual,0.045753
Limbic,Limbic,0.184822
Limbic,SMN,0
Limbic,Cerebellum,0.011272
SMN,DMN,0.051368
SMN,DAN,0.505476
SMN,VAN,0.042952
SMN,FPN,1.168379
SMN,SN,0.009744
SMN,Visual,1.420783
SMN,Limbic,0.316133
SMN,SMN,1.306389
SMN,Cerebellum,3.106273
Cerebellum,DMN,0.244112
Cerebellum,DAN,0.007958
Cerebellum,VAN,0.395673
Cerebellum,FPN,0.431518
Cerebellum,SN,0.006412
Cerebellum,Visual,0.323827
Cerebellum,Limbic,0.06514
Cerebellum,SMN,0.036058
Cerebellum,Cerebellum,4.519158
